https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
cycles_snow_sub,SNOW SUB,SNOW SUB,water evaporation from snow,Sublimation from snow cover,land_surface_snow__volume-per-area_sublimation_rate,mm/day,,,,
cycles_soil_evap,SOIL EVAP,SOIL EVAP,water evaporation from soil,Evaporation from the soil surface.,soil_surface_water__volume-per-area_evaporation_rate,mm/day,,,,
cycles_residue_evap,RESIDUE EVAP,RESIDUE EVAP,water evaporation from residues on soil,Evaporation from soil residues,soil_plant_residue_water__volume-per-area_evaporation_rate,mm/day,,,,
cycles_plant_evap,PLANT EVAP,PLANT EVAP,water evaporation from leaving plants,Evaporation from living plants,plants~living_water__volume-per-area_evaporation_rate,mm/day,,,,
cycles_swc,SWC,SWC,soil water content by layer,Soil moisture content (array of size = number of soil layers),soil_water__volume_fraction,m3/m3,,,,
wgen_stationid,id,id,station id,Satation ID,,,,,,
wgen_lon,lon,lon,longtiude,Longitude,,,,,,
wgen_lat,lat,lat,latitude,Latitude,,,,,,
wgen_year,year,year,year,year,,,,,,
wgen_month,month,month,month,month,,,,,,
wgen_minT,tmin,tmin,minimum temperature,minimum daily air temperature,air__one-day_min_of_temperature,deg C,,,,
wgen_maxT,tmax,tmax,maximum temperature,maximum daily air temperature,air__one-day_max_of_temperature,deg C,,,,
wgen_cloudfraction,mean_cloud,mean_cloud,cloud fraction,the mean cloud fraction ,,,,,,
wgen_windspeed,wind,wind,wind speed,The mean wind speed,,m/s,,,,
wgen_wetdays,wet day,wet day,number of wet days in a month,number of wet days in the month,,,,,,
wgen_day,day,day,day,day,,,,,,
wgen_prcp,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_volume_flux,mm/day,,,,
climcomp_FLDAS_P,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_volume_flux,kg m-2 s-1,,,,
climcomp_P,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_volume_flux,kg m-2 s-1,,,,
climcomp_FLDAS_T,temp,temp,temperature,temperature,atmosphere_bottom_air__temperature,deg K,,,,
climcomp_T,temp,temp,temperature,temperature,atmosphere_bottom_air__temperature,deg K,,,,
